City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
484,itupiranga,-5.1347,-49.3267,75.25400000000005,94,53,2.1,BR,1703634115
485,puerto deseado,-47.7503,-65.8938,62.438000000000045,44,51,11.23,AR,1703634179
486,naze,28.3667,129.4833,56.31800000000008,58,80,2.17,JP,1703634180
487,mgandu,-5.95,34.1333,63.23000000000004,90,100,2.81,TZ,1703634181
488,undurkhaan,47.3194,110.6556,1.5980000000000238,93,41,2.59,MN,1703634184
489,recreo,-29.2818,-65.061,85.56800000000008,30,93,8.03,AR,1703634184
490,shancheng,34.7953,116.0817,27.410000000000082,87,7,3.07,CN,1703634185
491,caleta olivia,-46.4393,-67.5281,65.31800000000008,51,43,6.93,AR,1703634185
492,galle,6.0367,80.217,76.55,89,79,2.91,LK,1703634186
493,prado,-17.3411,-39.2208,78.40400000000005,86,77,6.96,BR,1703633963
494,ubari,26.5921,12.7805,52.7,51,47,1.83,LY,1703634187
495,dahab,28.501,34.5134,68.59400000000008,48,16,2.68,EG,1703634187
496,sanibel,26.449,-82.0223,71.67200000000004,93,96,3.13,US,1703634024
497,cabedelo,-6.9811,-34.8339,79.98800000000004,83,82,3.39,BR,1703634188
498,ottumwa,41.02,-92.4113,36.14000000000002,98,100,0.89,US,1703634189
499,hobyo,5.3505,48.5268,78.85400000000006,78,69,9.75,SO,1703634189
500,tura,25.5198,90.2201,59.162000000000056,85,0,1.63,IN,1703634191
501,berdigestyakh,62.0989,126.6992,-22.719999999999956,100,98,1.1,RU,1703634191
502,suoyarvi,62.0833,32.35,15.583999999999993,98,100,0.74,RU,1703634192
503,tarauaca,-8.1614,-70.7656,74.10200000000007,99,100,1.37,BR,1703634192
504,touros,-5.1989,-35.4608,80.54600000000005,84,72,5.36,BR,1703634131
505,bagaha,27.1,84.0833,58.604000000000056,65,7,1.54,IN,1703634193
506,miles city,46.4083,-105.8406,27.5,68,100,1.73,US,1703634156
507,los zacatones,22.95,-102.05,58.01000000000008,32,100,3.5,MX,1703634195
